"","subject","session","site","cnr","efc","fber","fwhm","qi1","snr"
"2289","0027052",2,"MRN_1",17.1110057830811,0.364493216724933,1229.57290416167,4.65431,0.0899053143450599,43.6377067565918
"2290","0027053",1,"MRN_1",14.6734857559204,0.414812216510037,1030.02635580098,4.55498,0.0812429086177738,41.0378189086914
"2291","0027053",2,"MRN_1",15.5959405899048,0.414520636549924,1159.38449622927,4.51318,0.0929099065441823,43.8406524658203
"2292","0027054",2,"MRN_1",8.12685680389404,0.368830903435343,421.203297842643,4.71632,0.0983645151274628,24.3972282409668
"2293","0027410",2,"MRN_1",8.21487712860107,0.551358929502768,269.119434500484,4.1573,0.275196754986999,20.8525772094727
"2294","0027412",2,"MRN_1",19.4033336639404,0.397492189439559,1443.97475174585,4.79027,0.0572610994846448,50.4091720581055
"2295","0027413",1,"MRN_1",14.4469356536865,0.390283696737538,1065.81545766776,4.58364,0.102843762902712,40.6720428466797
"2296","0027413",2,"MRN_1",15.3810224533081,0.391041585469035,1104.94404845603,4.60204,0.0977143559425459,41.1230125427246
"2297","0027415",2,"MRN_1",8.43943214416504,0.569740186586578,307.25018546698,4.1548,0.292512276339058,24.2337226867676
"2298","0027416",2,"MRN_1",12.8590850830078,0.376547740961681,937.152015882538,4.56034,0.0632233175735426,37.5629463195801
"2299","0027010",2,"MRN_1",15.7469787597656,0.410970570663787,765.60724064929,4.56036,0.11567501504579,34.8882751464844
"2300","0027016",2,"MRN_1",13.0352764129639,0.397942681975806,686.794685114044,4.48178,0.130656481182788,30.8734130859375
"2301","0027028",2,"MRN_1",15.7530212402344,0.373611263683931,1152.04221120278,4.46016,0.0531492428190117,41.3086433410645
"2302","0027417",1,"MRN_1",7.85288953781128,0.513987708799977,293.694096928076,4.28634,0.242806934922691,22.3495616912842
"2303","0027417",2,"MRN_1",13.9401178359985,0.388539289716252,1119.01928584619,4.72873,0.076467766821367,42.4029006958008
"2304","0027418",1,"MRN_1",8.13768291473389,0.551429640704079,244.845549192837,4.0525,0.311212215486103,20.3636684417725
"2305","0027418",2,"MRN_1",10.2848014831543,0.524988756614095,337.672945931144,4.0668,0.274122378159925,23.6691875457764
"2306","0027419",2,"MRN_1",9.75170230865478,0.482888807327145,380.49670688656,4.36421,0.205279568220248,26.1262359619141
"2307","0027419",1,"MRN_1",9.32025718688965,0.481301059402655,360.831082932918,4.38027,0.214308835778918,26.3115901947021
"2308","0027063",1,"BNU_3",6.13001703343912,0.48406604230188,8.76860499930997,3.75657,0.235957620063693,11.5964259884478
"2309","0027059",1,"BNU_3",10.7460967449276,0.438418328369516,20.641842523727,3.83593,0.200149512299633,20.3915203432084
"2310","0027055",1,"BNU_3",9.27495670318604,0.480202957456357,163.62926584596,3.63313,0.326983110196386,15.0951108932495
"2311","0027065",1,"BNU_3",9.45998370766554,0.435644769443281,19.2866558569945,3.83749,0.140929384191969,16.3684282222089
"2312","0027057",1,"BNU_3",6.36397171020508,0.452027585193735,105.515991548288,3.4023,0.35844119618044,11.2352676391602
"2313","0027066",1,"BNU_3",7.31113338470459,0.467147016476989,121.305881000202,3.64174,0.377158165258071,12.4869365692139
"2314","0027064",1,"BNU_3",6.60097455978394,0.478182677303855,97.0653688662444,3.49635,0.326433876578834,11.0333642959595
"2315","0027056",1,"BNU_3",8.38205344315627,0.435132903515186,20.2503518411659,3.76398,0.217626145376389,14.4259301065852
"2316","0027058",1,"BNU_3",6.12466430664062,0.466265875470718,83.5364361891995,3.70283,0.300919879578561,10.5129079818726
"2317","0027068",1,"BNU_3",7.36461973190308,0.465597963672456,137.580828672249,3.79145,0.337573604597567,13.9561910629272
"2318","0027071",1,"BNU_3",9.87877064086196,0.434803263023906,24.8972668900655,3.77675,0.193705556482035,16.5405329520483
"2319","0027072",1,"BNU_3",5.83538436889648,0.446849941548671,84.1971708538429,3.80701,0.432591078715058,10.4222545623779
"2320","0027069",1,"BNU_3",14.8685169219971,0.487125626707183,373.164857418116,3.87634,0.265575958441837,24.8662700653076
"2321","0027067",1,"BNU_3",10.0540151596069,0.515954484457793,208.159852106146,3.72045,0.252067029671823,16.8827686309814
"2322","0027070",1,"BNU_3",7.39085912704468,0.50233468778158,120.620526083056,3.75556,0.407626770868999,13.0189867019653
"2323","0027080",1,"BNU_3",6.92022848129272,0.506031550037002,115.543610374914,3.59094,0.33115720098697,12.6983404159546
"2324","0027079",1,"BNU_3",7.3002649861659,0.416374888829629,9.83675800116516,3.79953,0.208923405477529,12.9702367247872
"2325","0027081",1,"BNU_3",6.46219348907471,0.470343687082647,103.588816198996,3.81788,0.37995080295397,11.5754041671753
"2326","0027073",1,"BNU_3",7.18977880477905,0.499865898878507,122.120130953496,3.53187,0.321960548527838,12.2490491867065
"2327","0027076",1,"BNU_3",5.71265602111816,0.465729564390058,92.2573708693876,3.84985,0.406122574543737,11.2630023956299
"2328","0027078",1,"BNU_3",5.97141551971436,0.438836092320446,92.8943701830618,3.78886,0.393492695531828,11.0654964447021
"2329","0027075",1,"BNU_3",9.08827018737793,0.497472550179699,182.377864597454,3.5815,0.309006930110796,16.9037895202637
"2330","0027082",1,"BNU_3",8.60928037173174,0.424258624888432,13.8927660050804,3.87368,0.183758863833885,15.9967007049185
"2331","0027074",1,"BNU_3",7.78748655319214,0.476082946982985,137.923159496541,3.64038,0.362324875947686,13.0696058273315
"2332","0027077",1,"BNU_3",12.2087268829346,0.488968016631104,249.804410986037,3.53949,0.299851423870557,20.356803894043
"2333","0027083",1,"BNU_3",7.15469694137573,0.495721933652254,121.395742440856,3.53502,0.318489394143628,12.6028165817261
"2334","0027084",1,"BNU_3",7.00384426116943,0.469134628097233,132.437492673431,3.41027,0.304256727834251,12.5991172790527
"2335","0027085",1,"BNU_3",10.6234118086136,0.449165676879675,27.7296425783429,3.63183,0.175659741498229,19.3558308188445
"2336","0027086",1,"BNU_3",12.1147816062584,0.461451254568597,34.7830049191704,3.79961,0.16438561307571,20.3762566867799
"2337","0027087",1,"BNU_3",7.47671842575073,0.45810820008289,152.795311129032,3.3662,0.275932469212998,13.2167100906372
"2338","0027088",1,"BNU_3",8.03910350799561,0.462240821275462,166.286212847454,3.47822,0.259619333081803,13.7583932876587
"2339","0027089",1,"BNU_3",6.80442327869491,0.446476627758555,8.94280215525725,4.0354,0.22543180971656,13.0597856710752
"2340","0027090",1,"BNU_3",10.1949584557067,0.378366893150564,19.2301232597508,3.74937,0.170638432454063,16.9086820996423
"2341","0027091",1,"BNU_3",19.2460208426443,0.462002975979672,79.3072075571555,3.94854,0.177662899577786,34.6107684762869
"2342","0027092",1,"BNU_3",8.28871250152588,0.496784071571115,167.089486591121,3.74402,0.34820515908294,15.3185396194458
"2343","0027093",1,"BNU_3",4.97611665725708,0.468226458055419,58.0805399896379,3.78371,0.31431380161147,8.40199375152588
"2344","0027094",1,"BNU_3",8.87400877392427,0.456406514610499,29.4930607880873,3.79278,0.159023442159592,16.9974252636813
"2345","0027095",1,"BNU_3",9.23573017120361,0.492005103914146,200.613395424029,3.8412,0.331460527246424,16.8307476043701
"2346","0027096",1,"BNU_3",8.36131191253662,0.511786880503417,163.715631125911,3.72069,0.290536702329064,15.4445610046387
"2347","0027098",1,"BNU_3",12.0569796255004,0.45582680327975,49.1736749251814,3.83598,0.130891655648036,22.8124255235295
"2348","0027097",1,"BNU_3",10.1559581756592,0.485225340465187,209.977289596924,3.77261,0.355178564969321,16.8036422729492
"2349","0027099",1,"BNU_3",9.49825924045615,0.4384897827106,14.0614930867233,3.85182,0.231329785882969,15.8887385303617
"2350","0027100",1,"BNU_3",6.41384696960449,0.464217425417022,110.071669569419,3.67455,0.355645270684049,12.0530853271484
"2351","0027101",1,"BNU_3",9.41455078125,0.497133988444786,221.928369844801,3.80288,0.380532799212975,17.9764728546143
"2352","0027102",1,"BNU_3",15.9682197570801,0.481593459643845,343.654479344481,3.86374,0.342007757707161,23.3269672393799
"2353","0027062",1,"BNU_3",7.81257295608521,0.477637636408351,162.413810263837,3.68095,0.316938610555691,13.6881999969482
"2354","0027061",1,"BNU_3",7.27020201812305,0.476786996767131,19.4529510792165,3.62252,0.196589261884195,14.8231767506389
"2355","0027060",1,"BNU_3",5.18022346496582,0.444248935063032,65.9703800382269,3.65182,0.371367555462432,8.78413581848145
"2356","0025022",2,"NYU_2",13.3385181427002,0.406764643418909,221.080593745205,3.77487,0.0496361074026245,15.1976747512817
"2357","0025023",2,"NYU_2",10.9413232803345,0.435269416967322,131.53012170354,3.87923,0.0624761523781263,11.472957611084
"2358","0025024",1,"NYU_2",9.62744426727295,0.442316415829397,144.005637729291,3.87827,0.102953331423129,12.0079154968262
"2359","0025025",1,"NYU_2",12.2490568161011,0.383707717326824,201.29605870286,3.47351,0.0775825489612879,13.9779615402222
"2360","0025025",3,"NYU_2",11.5333948135376,0.415735311424732,186.756398780703,3.57385,0.070903129052689,13.623724937439
"2361","0025026",2,"NYU_2",14.5775337219238,0.406264504025106,269.372230191354,3.5762,0.0536528053975476,16.1521873474121
"2362","0025027",2,"NYU_2",12.0643424987793,0.42095750251639,249.340437525135,4.14094,0.0719549165697349,18.1062316894531
"2363","0025028",2,"NYU_2",10.7603855133057,0.435685650476639,169.190249915714,4.20367,0.0570128926966047,14.8144130706787
"2364","0025029",2,"NYU_2",11.5563821792603,0.453167337521893,200.524684403968,3.72043,0.0563130553593888,15.6194372177124
"2365","0025030",2,"NYU_2",10.8178186416626,0.396207261603403,184.883084102412,3.98365,0.0512973401739887,15.0631065368652
"2366","0025031",2,"NYU_2",12.5888195037842,0.390081989527443,250.795039996215,4.19355,0.0381890122581449,17.3891887664795
"2367","0025032",2,"NYU_2",9.73073196411133,0.441239982471824,164.295771522207,3.90767,0.0564338502830235,13.7661867141724
"2368","0025033",2,"NYU_2",10.5668039321899,0.46938602260265,226.575875983224,3.86638,0.0627163118670276,16.1414184570312
"2369","0025034",2,"NYU_2",7.05586624145508,0.429953087040072,95.6271984262134,4.04765,0.0712021188966096,10.4381465911865
"2370","0025035",2,"NYU_2",12.2073755264282,0.421728696697661,239.864086659591,3.99696,0.0574884099675953,17.1846237182617
"2371","0025036",2,"NYU_2",12.0910329818726,0.394424566391122,273.195755160877,3.69332,0.031052243234686,17.5351943969727
"2372","0025037",2,"NYU_2",10.7168817520142,0.410228499111415,168.391971470242,3.85018,0.0486603787013637,13.8296880722046
